sc_name,genus,species,family,common_names,regions,cites_flag,iucn_flag,wwf_high_risk_flag
Acmadenia candida,Acmadenia,candida,,,,0,1,0
Acmadenia faucitincta,Acmadenia,faucitincta,,,,0,1,0
Acmadenia laxa,Acmadenia,laxa,,,,0,1,0
Acmella leucantha,Acmella,leucantha,,,,0,1,0
Acmella paniculata,Acmella,paniculata,,panicled spot flower;aachaara,,0,1,0
Acmella uliginosa,Acmella,uliginosa,,,,0,0,0
Acmopyle pancheri,Acmopyle,pancheri,,,,0,1,0
Acmopyle sahniana,Acmopyle,sahniana,,nggamleve;drautabua,,0,1,0
Aconitum austrokoreense,Aconitum,austrokoreense,,se-ppul-tu-gu-kkot,,0,1,0
Aconitum chasmanthum,Aconitum,chasmanthum,,vatsanabha,,0,1,0
Aconitum coreanum,Aconitum,coreanum,,baek-bu-ja,,0,0,0
Aconitum corsicum,Aconitum,corsicum,,aconit de corse,,0,1,0
Aconitum heterophyllum,Aconitum,heterophyllum,,,,0,1,0
Aconitum napellus,Aconitum,napellus,,aconite;aconit napel,,0,1,0
Aconitum violaceum,Aconitum,violaceum,,,,0,1,0
Acorus calamus,Acorus,calamus,,sweet flag;chang-po,,0,1,0
Acorus gramineus,Acorus,gramineus,,japanese rush;japanese sweet flag;dwarf sedge,,0,1,0
Acostaea trilobata,Acostaea,trilobata,,,ECU,1,0,0
Acridocarpus alopecurus,Acridocarpus,alopecurus,,,,0,1,0
Acridocarpus congestus,Acridocarpus,congestus,,,,0,1,0
Acridocarpus linearifolius,Acridocarpus,linearifolius,,,,0,1,0
Acridocarpus machaeropterus,Acridocarpus,machaeropterus,,,,0,1,0
Acridocarpus monodii,Acridocarpus,monodii,,sagontara pampagna,,0,1,0
Acridocarpus natalitius,Acridocarpus,natalitius,,,,0,1,0
Acridocarpus pauciglandulosus,Acridocarpus,pauciglandulosus,,,,0,1,0
Acridocarpus scheffleri,Acridocarpus,scheffleri,,,,0,1,0
Acridocarpus socotranus,Acridocarpus,socotranus,,,,0,0,0
Acridocarpus zanzibaricus,Acridocarpus,zanzibaricus,,,,0,0,0
Acriopsis carrii,Acriopsis,carrii,,,MYS,1,0,0
Acriopsis densiflora,Acriopsis,densiflora,,,MYS,1,0,0
Acriopsis gracilis,Acriopsis,gracilis,,,MYS,1,0,0
Acriopsis indica,Acriopsis,indica,,,MYS;VNM;THA;IDN,1,0,0
Acriopsis javanica,Acriopsis,javanica,,,MYS;AUS;SGP;IDN,1,0,0
Acriopsis ridleyi,Acriopsis,ridleyi,,,,1,0,0
Acritodon nephophilus,Acritodon,nephophilus,,,,0,1,0
Acroceras zizanioides,Acroceras,zizanioides,,oat grass,,0,0,0
Acrochaene punctata,Acrochaene,punctata,,,THA;MMR;IND;BTN,1,0,0
Acrodon purpureostylus,Acrodon,purpureostylus,,,,0,1,0
Acrolophia barbata,Acrolophia,barbata,,,ZAF,1,0,0
Acrolophia bolusii,Acrolophia,bolusii,,,ZAF,1,0,0
Acrolophia cochlearis,Acrolophia,cochlearis,,,ZAF,1,0,0
Acrolophia micrantha,Acrolophia,micrantha,,,ZAF,1,0,0
Acrolophia ustulata,Acrolophia,ustulata,,,ZAF,1,0,0
Acronychia porteri,Acronychia,porteri,,,,0,1,0
Acropogon aoupiniensis,Acropogon,aoupiniensis,,,,0,1,0
Acropogon austrocaledonicus,Acropogon,austrocaledonicus,,,,0,0,0
