,entity_id,sc_name,family,genus,species,sub_sp,common_name,range_state,is_tropical,is_coniferous,flag
37614,37615,Acacia montana,Leguminosae,Acacia,montana,,mallee wattle,,,,0.0
18760,18761,Acacia montis-usti,Leguminosae,Acacia,montis-usti,,brandbergdoring;brandberg acacia,,,,0.0
23093,23094,Acacia najdensis,Leguminosae,Acacia,najdensis,,sant,,,,0.0
37584,37585,Acacia negrii,Leguminosae,Acacia,negrii,,,,,,1.0
34507,34508,Acacia neurophylla,Leguminosae,Acacia,neurophylla,,,,,,0.0
7,8,Acacia nilotica,Leguminosae,Acacia,nilotica,,sunt;qarad,,,0.0,0.0
23218,23219,Acacia ochracea,Leguminosae,Acacia,ochracea,,cadaad geri,,,,0.0
37399,37400,Acacia octonervia,Leguminosae,Acacia,octonervia,,,,,,1.0
23880,23881,Acacia origena,Leguminosae,Acacia,origena,,,,,,0.0
34541,34542,Acacia pachycarpa,Leguminosae,Acacia,pachycarpa,,,,,,0.0
23094,23095,Acacia pachyceras,Leguminosae,Acacia,pachyceras,,sant,,,,0.0
34390,34391,Acacia pachyphylla,Leguminosae,Acacia,pachyphylla,,,,,,0.0
37629,37630,Acacia pendula,Leguminosae,Acacia,pendula,,myall;boree;silver-leaf boree;balaar;true myall;nilyah;weeping myall,,,,0.0
18842,18843,Acacia pennivenia,Leguminosae,Acacia,pennivenia,,,,,,1.0
22322,22323,Acacia permixta,Leguminosae,Acacia,permixta,,slapdoring;hairy acacia,,,,0.0
37691,37692,Acacia petraea,Leguminosae,Acacia,petraea,,lancewood,,,,0.0
31617,31618,Acacia phasmoides,Leguminosae,Acacia,phasmoides,,phantom wattle,,,,1.0
34576,34577,Acacia phlebocarpa,Leguminosae,Acacia,phlebocarpa,,table-top wattle,,,,0.0
34399,34400,Acacia phlebopetala,Leguminosae,Acacia,phlebopetala,,,,,,0.0
37324,37325,Acacia piauhiensis,Leguminosae,Acacia,piauhiensis,,rama-de-boi,,,,0.0
37974,37975,Acacia pluricapitata,Leguminosae,Acacia,pluricapitata,,,,,,0.0
22484,22485,Acacia prasinata,Leguminosae,Acacia,prasinata,,,,,,1.0
34403,34404,Acacia preissiana,Leguminosae,Acacia,preissiana,,,,,,0.0
22488,22489,Acacia pseudonigrescens,Leguminosae,Acacia,pseudonigrescens,,,,,,1.0
8,9,Acacia pubescens,Leguminosae,Acacia,pubescens,,,,,0.0,
22605,22606,Acacia purpurea,Leguminosae,Acacia,purpurea,,nacáueá,,,,1.0
34394,34395,Acacia pygmaea,Leguminosae,Acacia,pygmaea,,dwarf rock wattle,,,,1.0
34499,34500,Acacia quornensis,Leguminosae,Acacia,quornensis,,quorn wattle,,,,0.0
38136,38137,Acacia repanda,Leguminosae,Acacia,repanda,,,,,,1.0
34389,34390,Acacia resinicostata,Leguminosae,Acacia,resinicostata,,,,,,0.0
22811,22812,Acacia richii,Leguminosae,Acacia,richii,,loaloa;lolo;nggumu;qumu;tumbonu,,,,0.0
37905,37906,Acacia riparia,Leguminosae,Acacia,riparia,,,,,,0.0
22606,22607,Acacia robynsiana,Leguminosae,Acacia,robynsiana,,whip stick acacia;sweepstokdoring,,,,0.0
20036,20037,Acacia roigii,Leguminosae,Acacia,roigii,,,,,,1.0
22607,22608,Acacia sarcophylla,Leguminosae,Acacia,sarcophylla,,,,,,0.0
22608,22609,Acacia schlechteri,Leguminosae,Acacia,schlechteri,,,,,,1.0
37777,37778,Acacia semirigida,Leguminosae,Acacia,semirigida,,stony ridge wattle,,,,0.0
37297,37298,Acacia sericata,Leguminosae,Acacia,sericata,,,,,,0.0
34554,34555,Acacia sericoflora,Leguminosae,Acacia,sericoflora,,,,,,0.0
