Clibadium alatum
Mastixia macrophylla
Vicia capreolata
Aloe brachystachys
Angylocalyx braunii
Cycas arnhemica
Cytisus pulvinatus
Madhuca diplostemon
Mangifera similis
Villarsia goldblattiana
Elaeocarpus apiculatus
Cymbidium nanulum
Passiflora deltoifolia
Magnolia guerrerensis
Cyperus difformis
Opuntia pinkavae
Pedicularis dhurensis
Diplostephium oblanceolatum
Galium uliginosum
Polygonum caspicum
Endiandra lecardii
Nectandra dasystyla
Phalaenopsis lindenii
Larix himalaica
Centropogon jeppesenii
Cynanchum chimboracense
Freziera ciliata
Oxyanthus montanus
Impatiens sakeriana
Mouriri rostrata
Pleione forrestii
Piper sodiroi
Pappobolus argenteus
Magnolia griffithii
Ilex aracamuniana
Ludwigia brenanii
Laurencia ligulata
Solanum fortunense
Allenanthus hondurensis
Ceroxylon alpinum
Hopea semicuneata
Magnolia lasia
Pappobolus juncosae
Anisotes tangensis
Haplolobus leenhoutsii
Magnolia bidoupensis
Agathis silbae
Euphorbia uniglans
Keteleeria formosana
Vatica teysmanniana
Aglaia scortechinii
Polyalthia glabra
Myrcia induta
Codonanthe erubenscens
Piper lucigaudens
Thymus carnosus
Allium vasilevskajae
Thlaspi jankae
Glyceria notata
Lepidium ecuadoriense
Gnaphalium imbaburense
Amygdalus ledebouriana
Escobaria laredoi
Helichrysum tanacetiflorum
Elaphoglossum pteropodum
Picea retroflexa
Dryopteris gorgonea
Isonandra villosa
Cinnamomum reticulatum
Panicum niihauense
Capparis sprucei
Acer membranaceum
Baldellia ranunculoides
Couratari longipedicellata
Chionanthus adamsii
Carpha eminii
Euphorbia quartziticola
Euphorbia sakarahaensis
Magnolia coco
Phyllodium pulchellum
Gagea elliptica
Chadsia flammea
Pinus canariensis
Polystichum drepanum
Isoglossa variegata
Viola chamissoniana
Xyris lejolyanus
Stenandrium harlingii
Epimedium zhushanense
Serapias nurrica
Platostoma madagascariense
Pavetta kupensis
Quercus subspathulata
Vicia assyriaca
Dicypellium caryophyllaceum
Couepia scottmorii
Leopoldia gussonei
Cynorkis marojejyensis
Cypripedium wumengense
Vatica sarawakensis
Ariocarpus agavoides
Pinus pinea
Siparuna guajalitensis
Crotalaria decaryana
Paphiopedilum argus
Brunellia cayambensis
Vatica lanceaefolia
Cromidon pusillum
Camellia hengchunensis
Eriocaulon parvulum
Oxyanthus troupinii
Alocasia sanderiana
Salvia veneris
Trifolium subterraneum
Weinmannia vitiensis
Trichodesma scotti
Wettinia castanea
Diplazium chimboanum
Ilex puberula
Hibbertia moratii
Psychotria amboniana
Alberta magna
Garcinia montana
Madhuca obtusifolia
